gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
add,rbsr,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
add,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_up
argc,argr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
argc,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_up
arir,mara,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
arir,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_up
arir,cysb,+,ecocyc_28,yes,no,sanchez_vasquez_up
arir,rpos,+,ecocyc_28,no,yes,sanchez_vasquez_up
arir,blur,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,ihfa,+,ecocyc_28,yes,no,sanchez_vasquez_up
csge,gcvb,-,ecocyc_28,yes,no,sanchez_vasquez_up
csge,mqsa,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,ompr,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
csge,rpos,+,ecocyc_28,no,yes,sanchez_vasquez_up
csge,rcsa,-,ecocyc_28,no,no,sanchez_vasquez_up
csge,bola,+,ecocyc_28,no,no,sanchez_vasquez_up
csge,cra,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
csge,crp,+,ecocyc_28,yes,no,sanchez_vasquez_up
csge,fliz,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,rsta,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,btsr,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,ihfb,+,ecocyc_28,yes,no,sanchez_vasquez_up
csge,rybb,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,rydc,-,ecocyc_28,no,no,sanchez_vasquez_up
csge,hns,-,ecocyc_28,yes,no,sanchez_vasquez_up
csge,omra,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
csge,mlra,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,rpra,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_up
csge,basr,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,rcda,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,csgd,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_up
csge,rcsb,-,ecocyc_28,yes,no,sanchez_vasquez_up
csge,omrb,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,mcas,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_up
csge,h-ns,-,regdb_13,no,no,sanchez_vasquez_up
csge,ihf,+,regdb_13,no,no,sanchez_vasquez_up
csgf,ihfa,+,ecocyc_28,yes,no,sanchez_vasquez_up
