gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
araf,spf,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
araf,fur,+,ecocyc_28,yes,no,rajacharya_upregulated
araf,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
araf,arac,+,ecocyc_28_AND_regdb_13,no,no,rajacharya_upregulated
araf,rpos,+,ecocyc_28,no,yes,rajacharya_upregulated
araf,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
araf,crp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
arod,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
arod,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
cpdb,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
cpdb,crp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
cpdb,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
def,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
fima,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
fima,ihfa,+,ecocyc_28,yes,no,rajacharya_upregulated
fima,hns,+,ecocyc_28,yes,no,rajacharya_upregulated
fima,lrp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
fima,fis,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
fima,ihfb,+,ecocyc_28,yes,no,rajacharya_upregulated
fima,qseb,+,ecocyc_28,no,no,rajacharya_upregulated
fima,h-ns,+,regdb_13,no,no,rajacharya_upregulated
frua,cra,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
frua,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
gloa,mica,-,ecocyc_28,no,no,rajacharya_upregulated
gloa,nemr,-,ecocyc_28_AND_regdb_13,no,no,rajacharya_upregulated
gloa,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
gloa,rutr,-,ecocyc_28_AND_regdb_13,no,no,rajacharya_upregulated
lsrf,rpos,+,ecocyc_28,no,yes,rajacharya_upregulated
lsrf,crp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
lsrf,lsrr,-,ecocyc_28_AND_regdb_13,no,no,rajacharya_upregulated
metn,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
metn,metj,-,ecocyc_28_AND_regdb_13,no,no,rajacharya_upregulated
metn,hypt,+,ecocyc_28_AND_regdb_13,no,no,rajacharya_upregulated
mqo,arca,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
mqo,lrp,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
mqo,fur,-,ecocyc_28,yes,no,rajacharya_upregulated
poxb,mara,+,ecocyc_28,yes,no,rajacharya_upregulated
poxb,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
poxb,nsrr,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
poxb,narp,+,ecocyc_28,yes,no,rajacharya_upregulated
poxb,soxs,+,ecocyc_28,yes,no,rajacharya_upregulated
poxb,rpos,+,ecocyc_28,no,yes,rajacharya_upregulated
poxb,fnr,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
poxb,cra,+,ecocyc_28,yes,no,rajacharya_upregulated
poxb,oxyr,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
poxb,narl,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
rsea,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
rsea,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
rsea,rcsb,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
rsea,glng,+,ecocyc_28,yes,no,rajacharya_upregulated
rsea,lrp,+,ecocyc_28,yes,no,rajacharya_upregulated
rsea,rpos,+,ecocyc_28,no,yes,rajacharya_upregulated
rsea,ihfb,-,ecocyc_28,yes,no,rajacharya_upregulated
rsea,dksa,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
rsea,rpon,+,ecocyc_28,no,yes,rajacharya_upregulated
