gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
accc,accb,-,ecocyc_28,no,no,rajacharya_downregulated
accc,fadr,+,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
accc,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
aceb,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
aceb,flhd,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,ihfa,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,flhc,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,crp,-,ecocyc_28,yes,no,rajacharya_downregulated
aceb,arca,-,ecocyc_28,yes,no,rajacharya_downregulated
aceb,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
aceb,cra,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
aceb,iclr,-,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
aceb,lrp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
aceb,ihfb,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,flhdc,+,regdb_13,no,no,rajacharya_downregulated
aceb,ihf,+,regdb_13,no,no,rajacharya_downregulated
acps,rpod,+,ecocyc_28,no,yes,ceroni_down
acs,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
acs,rpos,+,ecocyc_28,no,yes,rajacharya_downregulated
acs,ihfb,-,ecocyc_28,yes,no,rajacharya_downregulated
acs,crp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
acs,ihfa,-,ecocyc_28,yes,no,rajacharya_downregulated
acs,rob,-,ecocyc_28,yes,no,rajacharya_downregulated
acs,gcvb,-,ecocyc_28,yes,no,rajacharya_downregulated
acs,fis,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
acs,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
acs,ihf,-,regdb_13,no,no,rajacharya_downregulated
aldb,crp,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
aldb,fis,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
aldb,rpos,+,ecocyc_28,no,yes,ceroni_down
alkb,rpos,+,ecocyc_28,no,yes,ceroni_down
alkb,ada,±,ecocyc_28_AND_regdb_13,no,no,ceroni_down
alkb,rpod,+,ecocyc_28,no,yes,ceroni_down
allc,alls,+,ecocyc_28,no,no,ceroni_down
allc,rpod,+,ecocyc_28,no,yes,ceroni_down
amph,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
amtb,glng,+,ecocyc_28,yes,no,ceroni_down
amtb,rpon,+,ecocyc_28,no,yes,ceroni_down
amtb,fur,±,ecocyc_28,yes,no,ceroni_down
amtb,gadx,+,ecocyc_28,yes,no,ceroni_down
amtb,fnr,±,ecocyc_28,yes,no,ceroni_down
amya,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
ansb,rpod,+,ecocyc_28,no,yes,jovanovic_down
ansb,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
ansb,fur,+,ecocyc_28,yes,no,jovanovic_down
ansb,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
ansb,lrp,±,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
ansb,fis,-,ecocyc_28,yes,no,jovanovic_down
ansb,fnr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
arab,crp,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
arab,arac,±,ecocyc_28_AND_regdb_13,no,no,ceroni_down
arab,rpod,+,ecocyc_28,no,yes,ceroni_down
arab,fur,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
arae,arac,+,ecocyc_28_AND_regdb_13,no,no,ceroni_down
arae,crp,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
arae,nac,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
arae,rpod,+,ecocyc_28,no,yes,ceroni_down
argd,phop,-,ecocyc_28,no,no,jovanovic_down
argd,argr,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
argd,rpod,+,ecocyc_28,no,yes,jovanovic_down
argh,argr,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
argh,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
arof,tyrr,-,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
arof,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
arof,soxr,+,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
arof,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
asnb,gadx,+,ecocyc_28,yes,no,rajacharya_downregulated
asnb,gcvb,-,ecocyc_28,yes,no,rajacharya_downregulated
asnb,lrp,+,ecocyc_28,yes,no,rajacharya_downregulated
aspc,fur,-,ecocyc_28,yes,no,rajacharya_downregulated
aspc,fnr,±,ecocyc_28,yes,no,rajacharya_downregulated
aspc,lrp,+,ecocyc_28,yes,no,rajacharya_downregulated
asps,lrp,-,ecocyc_28,yes,no,rajacharya_downregulated
astc,glng,+,ecocyc_28,yes,no,rajacharya_downregulated
astc,rpon,+,ecocyc_28,no,yes,rajacharya_downregulated
astc,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
astc,argr,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
astc,rpos,+,ecocyc_28,no,yes,rajacharya_downregulated
astc,rob,-,ecocyc_28,yes,no,rajacharya_downregulated
astc,lrp,±,ecocyc_28,yes,no,rajacharya_downregulated
astc,cpxr,-,ecocyc_28,yes,no,rajacharya_downregulated
astc,ntrc,+,regdb_13,no,no,rajacharya_downregulated
aste,glng,+,ecocyc_28,yes,no,vazulka_down
aste,rpon,+,ecocyc_28,no,yes,vazulka_down
aste,rpos,+,ecocyc_28,no,yes,vazulka_down
aste,rpod,+,ecocyc_28,no,yes,vazulka_down
aste,argr,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
aste,ntrc,+,regdb_13,no,no,vazulka_down
atpd,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
bama,rpoe,+,ecocyc_28,no,yes,rajacharya_downregulated
bioa,bira,-,ecocyc_28_AND_regdb_13,no,no,ceroni_down
bioa,rpod,+,ecocyc_28,no,yes,ceroni_down
biob,bira,-,ecocyc_28_AND_regdb_13,no,no,ceroni_down
biob,rpod,+,ecocyc_28,no,yes,ceroni_down
cait,rpod,+,ecocyc_28,no,yes,ceroni_down
cait,crp,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
cait,arca,+,ecocyc_28,yes,no,ceroni_down
cait,hns,-,ecocyc_28,yes,no,ceroni_down
cait,fnr,+,ecocyc_28,yes,no,ceroni_down
cait,caif,+,ecocyc_28_AND_regdb_13,no,no,ceroni_down
cara,ihfb,±,ecocyc_28,yes,no,rajacharya_downregulated
cara,rutr,+,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
cara,ihfa,±,ecocyc_28,yes,no,rajacharya_downregulated
cara,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
