gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
bola,rpos,+,ecocyc_28,no,yes,durfee_up
bola,rpod,+,ecocyc_28,no,yes,durfee_up
bola,hns,-,ecocyc_28,yes,no,durfee_up
bola,ompr,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
crp,fis,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
crp,rpod,+,ecocyc_28,no,yes,durfee_up
crp,crp,±,ecocyc_28_AND_regdb_13,yes,no,durfee_up
crp,cra,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
flxa,fis,+,ecocyc_28,yes,no,durfee_up
flxa,flia,+,ecocyc_28,no,yes,durfee_up
greb,nac,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
ilvl,ihfa,±,ecocyc_28,yes,no,durfee_up
ilvl,rpod,+,ecocyc_28,no,yes,durfee_up
ilvl,lrp,±,ecocyc_28,yes,no,durfee_up
ilvl,gcvb,-,ecocyc_28,yes,no,durfee_up
ilvl,ihfb,±,ecocyc_28,yes,no,durfee_up
ilvl,nac,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
ilvl,ihf,±,regdb_13,no,no,durfee_up
leul,nac,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
leul,leuo,+,ecocyc_28,no,no,durfee_up
leul,rpod,+,ecocyc_28,no,yes,durfee_up
leul,lrp,+,ecocyc_28,yes,no,durfee_up
lexa,lexa,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
lexa,rpod,+,ecocyc_28,no,yes,durfee_up
lrp,rpod,+,ecocyc_28,no,yes,durfee_up
lrp,lrp,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
lrp,nsrr,-,ecocyc_28,yes,no,durfee_up
lrp,gade,+,ecocyc_28,yes,no,durfee_up
lrp,gcvb,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
lrp,nac,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
lrp,micf,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
lrp,argr,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
lrp,dsra,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
lrp,hns,-,ecocyc_28,yes,no,durfee_up
lrp,h-ns,-,regdb_13,no,no,durfee_up
moda,rpod,+,ecocyc_28,no,yes,durfee_up
moda,flia,+,ecocyc_28,no,yes,durfee_up
moda,lrp,+,ecocyc_28,yes,no,durfee_up
moda,mode,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
moda,crp,+,ecocyc_28,yes,no,durfee_up
nrdh,rpod,+,ecocyc_28,no,yes,durfee_up
nrdh,cra,-,ecocyc_28,yes,no,durfee_up
nrdh,nrdr,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
nrdh,iscr,+,ecocyc_28,yes,no,durfee_up
nrdh,fur,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
phem,fnr,-,ecocyc_28,yes,no,durfee_up
phem,nsrr,-,ecocyc_28,yes,no,durfee_up
phem,dksa,-,ecocyc_28,yes,no,durfee_up
phob,alpa,-,ecocyc_28,no,no,durfee_up
phob,phob,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
phob,nac,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
phob,rpod,+,ecocyc_28,no,yes,durfee_up
pspb,ihfb,+,ecocyc_28,yes,no,durfee_up
pspb,pspf,+,ecocyc_28_AND_regdb_13,no,no,durfee_up
pspb,ihfa,+,ecocyc_28,yes,no,durfee_up
pspb,rpon,+,ecocyc_28,no,yes,durfee_up
pspb,ihf,+,regdb_13,no,no,durfee_up
psts,rpod,+,ecocyc_28,no,yes,durfee_up
psts,ihfa,+,ecocyc_28,yes,no,durfee_up
psts,rpos,+,ecocyc_28,no,yes,durfee_up
psts,nac,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
psts,fnr,+,ecocyc_28,yes,no,durfee_up
psts,ihfb,+,ecocyc_28,yes,no,durfee_up
psts,phob,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
psts,ihf,+,regdb_13,no,no,durfee_up
rmf,fur,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rmf,nhar,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rmf,slya,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rmf,zntr,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
rmf,mcbr,+,ecocyc_28_AND_regdb_13,no,no,durfee_up
rmf,cuer,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
rmf,sdia,+,ecocyc_28_AND_regdb_13,no,no,durfee_up
rmf,zrar,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
rmf,phop,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
rmf,rcda,+,ecocyc_28_AND_regdb_13,no,no,durfee_up
rmf,arca,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rmf,crp,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rmf,kdpe,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
rpoe,rpod,+,ecocyc_28,no,yes,durfee_up
rpoe,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rpoe,rcsb,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rpoe,glng,+,ecocyc_28,yes,no,durfee_up
rpoe,rpos,+,ecocyc_28,no,yes,durfee_up
rpoe,ihfb,-,ecocyc_28,yes,no,durfee_up
rpoe,dksa,+,ecocyc_28,yes,no,durfee_up
rpoe,ihfa,-,ecocyc_28,yes,no,durfee_up
rpoe,rpon,+,ecocyc_28,no,yes,durfee_up
rpoe,rpoe,+,ecocyc_28,no,yes,durfee_up
rpoe,glrr,+,ecocyc_28_AND_regdb_13,no,no,durfee_up
rpoe,crp,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rpoe,csra,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
rpoe,ntrc,+,regdb_13,no,no,durfee_up
rpoh,dnaa,-,ecocyc_28,no,no,durfee_up
rpoh,rpod,+,ecocyc_28,no,yes,durfee_up
rpoh,ihfa,+,ecocyc_28,yes,no,durfee_up
rpoh,rpos,+,ecocyc_28,no,yes,durfee_up
rpoh,cytr,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
rpoh,cpxr,+,ecocyc_28,yes,no,durfee_up
rpoh,crp,±,ecocyc_28,yes,no,durfee_up
rpoh,rpon,+,ecocyc_28,no,yes,durfee_up
rpoh,rpoe,+,ecocyc_28,no,yes,durfee_up
rpoh,ihfb,+,ecocyc_28,yes,no,durfee_up
rpoh,zrar,+,ecocyc_28_AND_regdb_13,no,no,durfee_up
rpoh,ihf,+,regdb_13,no,no,durfee_up
rsd,rpod,+,ecocyc_28,no,yes,durfee_up
rsd,nhar,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rsd,slya,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rsd,zntr,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
rsd,lrp,+,ecocyc_28,yes,no,durfee_up
rsd,mcbr,+,ecocyc_28_AND_regdb_13,no,no,durfee_up
rsd,nac,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rsd,rpos,+,ecocyc_28,no,yes,durfee_up
rsd,cuer,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
rsd,sdia,+,ecocyc_28_AND_regdb_13,no,no,durfee_up
rsd,phop,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
rsd,fur,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rsd,rcda,+,ecocyc_28_AND_regdb_13,no,no,durfee_up
rsd,arca,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
rsd,kdpe,-,ecocyc_28_AND_regdb_13,no,no,durfee_up
ruva,lexa,-,ecocyc_28,yes,no,durfee_up
smg,glar,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
thrl,dksa,+,ecocyc_28,yes,no,durfee_up
thrl,rpod,+,ecocyc_28,no,yes,durfee_up
thrl,lrp,-,ecocyc_28_AND_regdb_13,yes,no,durfee_up
trxc,oxyr,+,ecocyc_28_AND_regdb_13,yes,no,durfee_up
trxc,rpod,+,ecocyc_28,no,yes,durfee_up
ubia,fnr,-,ecocyc_28,yes,no,durfee_up
ubia,rpod,+,ecocyc_28,no,yes,durfee_up
ubia,lrp,+,ecocyc_28,yes,no,durfee_up
