gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
aaea,aaer,+,ecocyc_28,no,no,houser_up
aaea,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aaeb,aaer,+,ecocyc_28,no,no,houser_up
aaeb,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aaer,crp,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
abga,nac,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
acca,acca,-,ecocyc_28,no,no,houser_down
acca,accd,-,ecocyc_28,no,no,houser_down
acca,rpod,+,ecocyc_28,no,yes,houser_down
acca,fadr,+,ecocyc_28_AND_regdb_13,no,no,houser_down
accb,rpod,+,ecocyc_28,no,yes,houser_down
accb,fadr,+,ecocyc_28_AND_regdb_13,no,no,houser_down
accb,accb,-,ecocyc_28,no,no,houser_down
accc,rpod,+,ecocyc_28,no,yes,gummesson_down-houser_down-rajacharya_downregulated
accc,fadr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_down-houser_down-rajacharya_downregulated
accc,accb,-,ecocyc_28,no,no,gummesson_down-houser_down-rajacharya_downregulated
accd,acca,-,ecocyc_28,no,no,houser_down-lu_down
accd,accd,-,ecocyc_28,no,no,houser_down-lu_down
accd,rpod,+,ecocyc_28,no,yes,houser_down-lu_down
accd,fadr,+,ecocyc_28_AND_regdb_13,no,no,houser_down-lu_down
acea,crp,-,ecocyc_28,yes,no,mori_up-schmidt_up
acea,cra,+,ecocyc_28_AND_regdb_13,yes,no,mori_up-schmidt_up
acea,ihfa,+,ecocyc_28,yes,no,mori_up-schmidt_up
acea,arca,-,ecocyc_28,yes,no,mori_up-schmidt_up
acea,rpod,+,ecocyc_28,no,yes,mori_up-schmidt_up
acea,ihfb,+,ecocyc_28,yes,no,mori_up-schmidt_up
acea,iclr,-,ecocyc_28_AND_regdb_13,no,no,mori_up-schmidt_up
acea,ihf,+,regdb_13,no,no,mori_up-schmidt_up
aceb,flhc,+,ecocyc_28,yes,no,mori_up-rajacharya_downregulated
aceb,crp,-,ecocyc_28,yes,no,mori_up-rajacharya_downregulated
aceb,cra,+,ecocyc_28_AND_regdb_13,yes,no,mori_up-rajacharya_downregulated
aceb,ihfa,+,ecocyc_28,yes,no,mori_up-rajacharya_downregulated
aceb,lrp,+,ecocyc_28_AND_regdb_13,yes,no,mori_up-rajacharya_downregulated
aceb,flhd,+,ecocyc_28,yes,no,mori_up-rajacharya_downregulated
aceb,nac,-,ecocyc_28_AND_regdb_13,yes,no,mori_up-rajacharya_downregulated
aceb,arca,-,ecocyc_28,yes,no,mori_up-rajacharya_downregulated
aceb,rpod,+,ecocyc_28,no,yes,mori_up-rajacharya_downregulated
aceb,ihfb,+,ecocyc_28,yes,no,mori_up-rajacharya_downregulated
aceb,iclr,-,ecocyc_28_AND_regdb_13,no,no,mori_up-rajacharya_downregulated
aceb,ihf,+,regdb_13,no,no,mori_up-rajacharya_downregulated
aceb,flhdc,+,regdb_13,no,no,mori_up-rajacharya_downregulated
acee,fnr,±,ecocyc_28_AND_regdb_13,yes,no,houser_down
acee,cra,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acee,arca,-,ecocyc_28,yes,no,houser_down
acee,rpod,+,ecocyc_28,no,yes,houser_down
acee,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acee,btsr,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acee,nsrr,-,ecocyc_28,yes,no,houser_down
acee,crp,+,ecocyc_28,yes,no,houser_down
acee,rpos,+,ecocyc_28,no,yes,houser_down
acef,fnr,±,ecocyc_28_AND_regdb_13,yes,no,houser_down
acef,cra,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acef,arca,-,ecocyc_28,yes,no,houser_down
acef,rpod,+,ecocyc_28,no,yes,houser_down
acef,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,houser_down
acef,btsr,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acef,nsrr,-,ecocyc_28,yes,no,houser_down
acef,crp,+,ecocyc_28,yes,no,houser_down
acef,rpos,+,ecocyc_28,no,yes,houser_down
acek,crp,-,ecocyc_28,yes,no,bie_down-schmidt_up
acek,cra,+,ecocyc_28_AND_regdb_13,yes,no,bie_down-schmidt_up
acek,ihfa,+,ecocyc_28,yes,no,bie_down-schmidt_up
acek,arca,-,ecocyc_28,yes,no,bie_down-schmidt_up
acek,rpod,+,ecocyc_28,no,yes,bie_down-schmidt_up
acek,ihfb,+,ecocyc_28,yes,no,bie_down-schmidt_up
acek,iclr,-,ecocyc_28_AND_regdb_13,no,no,bie_down-schmidt_up
acek,ihf,+,regdb_13,no,no,bie_down-schmidt_up
acka,arca,+,ecocyc_28,yes,no,houser_down
acka,rpoh,+,ecocyc_28,no,yes,houser_down
acka,creb,+,ecocyc_28,no,no,houser_down
acka,sdhx,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acka,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_down
acka,fnr,+,ecocyc_28,yes,no,houser_down
acna,cra,+,ecocyc_28,yes,no,mori_up
acna,fnr,-,ecocyc_28,yes,no,mori_up
acna,arca,-,ecocyc_28,yes,no,mori_up
acna,rpod,+,ecocyc_28,no,yes,mori_up
acna,soxs,+,ecocyc_28_AND_regdb_13,yes,no,mori_up
acna,mara,+,ecocyc_28_AND_regdb_13,yes,no,mori_up
acna,fur,+,ecocyc_28,yes,no,mori_up
acna,rob,+,ecocyc_28,yes,no,mori_up
acna,csra,-,ecocyc_28,no,no,mori_up
acna,crp,+,ecocyc_28,yes,no,mori_up
acna,rpos,+,ecocyc_28,no,yes,mori_up
acnb,fis,-,ecocyc_28,yes,no,houser_down-lu_down
acnb,cra,±,ecocyc_28,yes,no,houser_down-lu_down
acnb,arca,-,ecocyc_28_AND_regdb_13,yes,no,houser_down-lu_down
acnb,rpod,+,ecocyc_28,no,yes,houser_down-lu_down
acnb,ryhb,-,ecocyc_28,yes,no,houser_down-lu_down
acnb,acnb,+,ecocyc_28,no,no,houser_down-lu_down
acnb,crp,+,ecocyc_28,yes,no,houser_down-lu_down
acps,rpod,+,ecocyc_28,no,yes,ceroni_down-lu_down
acra,rpod,+,ecocyc_28,no,yes,houser_down
acra,soxs,+,ecocyc_28_AND_regdb_13,yes,no,houser_down
acra,mara,+,ecocyc_28_AND_regdb_13,yes,no,houser_down
acra,acrr,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acra,phop,-,ecocyc_28,no,no,houser_down
acra,ptrr,+,ecocyc_28,no,no,houser_down
acra,rob,+,ecocyc_28_AND_regdb_13,yes,no,houser_down
acra,mpra,-,ecocyc_28,no,no,houser_down
acra,envr,-,ecocyc_28_AND_regdb_13,no,no,houser_down
acre,nac,-,ecocyc_28_AND_regdb_13,yes,no,bie_up-lu_up
acre,hns,-,ecocyc_28,yes,no,bie_up-lu_up
acre,rpod,+,ecocyc_28,no,yes,bie_up-lu_up
acre,zrar,+,ecocyc_28_AND_regdb_13,no,no,bie_up-lu_up
acre,fnr,+,ecocyc_28,yes,no,bie_up-lu_up
acrf,rpod,+,ecocyc_28,no,yes,houser_up
acrf,hns,-,ecocyc_28,yes,no,houser_up
acrf,fnr,+,ecocyc_28,yes,no,houser_up
acrr,rpod,+,ecocyc_28,no,yes,schmidt_down
acrr,ptrr,-,ecocyc_28,no,no,schmidt_down
acrr,ompr,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
acrr,acrr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
acs,fis,-,ecocyc_28_AND_regdb_13,yes,no,mori_up-rajacharya_downregulated-schmidt_up-wu_up
acs,rob,-,ecocyc_28,yes,no,mori_up-rajacharya_downregulated-schmidt_up-wu_up
acs,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,mori_up-rajacharya_downregulated-schmidt_up-wu_up
acs,ihfa,-,ecocyc_28,yes,no,mori_up-rajacharya_downregulated-schmidt_up-wu_up
acs,rpod,+,ecocyc_28,no,yes,mori_up-rajacharya_downregulated-schmidt_up-wu_up
acs,gcvb,-,ecocyc_28,yes,no,mori_up-rajacharya_downregulated-schmidt_up-wu_up
acs,rpos,+,ecocyc_28,no,yes,mori_up-rajacharya_downregulated-schmidt_up-wu_up
acs,crp,+,ecocyc_28_AND_regdb_13,yes,no,mori_up-rajacharya_downregulated-schmidt_up-wu_up
acs,ihfb,-,ecocyc_28,yes,no,mori_up-rajacharya_downregulated-schmidt_up-wu_up
acs,ihf,-,regdb_13,no,no,mori_up-rajacharya_downregulated-schmidt_up-wu_up
actp,fis,-,ecocyc_28_AND_regdb_13,yes,no,mori_up-schmidt_up
actp,rob,-,ecocyc_28,yes,no,mori_up-schmidt_up
actp,ihfa,-,ecocyc_28,yes,no,mori_up-schmidt_up
actp,rpod,+,ecocyc_28,no,yes,mori_up-schmidt_up
actp,rpos,+,ecocyc_28,no,yes,mori_up-schmidt_up
actp,rpon,+,ecocyc_28,no,yes,mori_up-schmidt_up
actp,fur,-,ecocyc_28,yes,no,mori_up-schmidt_up
actp,crp,+,ecocyc_28_AND_regdb_13,yes,no,mori_up-schmidt_up
actp,ihfb,-,ecocyc_28,yes,no,mori_up-schmidt_up
actp,ihf,-,regdb_13,no,no,mori_up-schmidt_up
add,rpod,+,ecocyc_28,no,yes,gummesson_up-sanchez_vasquez_up
add,rbsr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up-sanchez_vasquez_up
aded,rpod,+,ecocyc_28,no,yes,mori_down
aded,hns,-,ecocyc_28,yes,no,mori_down
adep,kdpe,-,ecocyc_28,no,no,gummesson_down
adep,yiau,+,ecocyc_28,no,no,gummesson_down
adia,ydeo,-,ecocyc_28,no,no,houser_up-lu_up
adia,ihfa,+,ecocyc_28,yes,no,houser_up-lu_up
adia,hns,-,ecocyc_28,yes,no,houser_up-lu_up
adia,torr,+,ecocyc_28,no,no,houser_up-lu_up
adia,rpod,+,ecocyc_28,no,yes,houser_up-lu_up
adia,adiy,+,ecocyc_28_AND_regdb_13,no,no,houser_up-lu_up
adia,ihfb,+,ecocyc_28,yes,no,houser_up-lu_up
adia,ihf,+,regdb_13,no,no,houser_up-lu_up
