gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
alat,rpod,+,ecocyc_28,no,yes,durfee_down
alat,lrp,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
alat,dksa,-,ecocyc_28,yes,no,durfee_down
alat,nhar,±,ecocyc_28_AND_regdb_13,yes,no,durfee_down
alat,fis,+,ecocyc_28_AND_regdb_13,yes,no,durfee_down
alat,rpoh,+,ecocyc_28,no,yes,durfee_down
alau,hns,±,ecocyc_28,yes,no,durfee_down
alau,lrp,±,ecocyc_28,yes,no,durfee_down
alau,nhar,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
alau,dksa,-,ecocyc_28,yes,no,durfee_down
alau,rpod,+,ecocyc_28,no,yes,durfee_down
alau,fis,+,ecocyc_28_AND_regdb_13,yes,no,durfee_down
alau,rpoh,+,ecocyc_28,no,yes,durfee_down
apt,glar,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
apt,rpod,+,ecocyc_28,no,yes,durfee_down
fis,fis,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
fis,rpod,+,ecocyc_28,no,yes,durfee_down
fis,ihfa,+,ecocyc_28,yes,no,durfee_down
fis,dksa,-,ecocyc_28,yes,no,durfee_down
fis,crp,±,ecocyc_28_AND_regdb_13,yes,no,durfee_down
fis,ihfb,+,ecocyc_28,yes,no,durfee_down
fis,rpsa,+,ecocyc_28,no,no,durfee_down
fis,ihf,+,regdb_13,no,no,durfee_down
flgh,flhd,+,ecocyc_28,yes,no,durfee_down
flgh,rpod,+,ecocyc_28,no,yes,durfee_down
flgh,flhc,+,ecocyc_28,yes,no,durfee_down
flgh,flhdc,+,regdb_13,no,no,durfee_down
flgi,flhd,+,ecocyc_28,yes,no,durfee_down
flgi,rpod,+,ecocyc_28,no,yes,durfee_down
flgi,flhc,+,ecocyc_28,yes,no,durfee_down
flgi,flhdc,+,regdb_13,no,no,durfee_down
flhd,asflhd,-,ecocyc_28,no,no,durfee_down
flhd,ihfb,-,ecocyc_28,yes,no,durfee_down
flhd,rcsa,-,ecocyc_28,no,no,durfee_down
flhd,crp,+,ecocyc_28_AND_regdb_13,yes,no,durfee_down
flhd,fliz,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flhd,mcas,+,ecocyc_28_AND_regdb_13,no,no,durfee_down
flhd,mata,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flhd,omra,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flhd,oxys,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flhd,yjjq,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flhd,hdfr,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flhd,fur,-,ecocyc_28,yes,no,durfee_down
flhd,ihfa,-,ecocyc_28,yes,no,durfee_down
flhd,qseb,+,ecocyc_28,no,no,durfee_down
flhd,lrha,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flhd,ompr,-,ecocyc_28,yes,no,durfee_down
flhd,acrr,-,ecocyc_28,no,no,durfee_down
flhd,arcz,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flhd,rpod,+,ecocyc_28,no,yes,durfee_down
flhd,hns,+,ecocyc_28,yes,no,durfee_down
flhd,rpon,+,ecocyc_28,no,yes,durfee_down
flhd,rcsb,-,ecocyc_28,yes,no,durfee_down
flhd,omrb,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flhd,rcsab,-,regdb_13,no,no,durfee_down
flhd,h-ns,+,regdb_13,no,no,durfee_down
flij,flhd,+,ecocyc_28,yes,no,durfee_down
flij,rpod,+,ecocyc_28,no,yes,durfee_down
flij,flia,+,ecocyc_28,no,yes,durfee_down
flij,fimr2,-,ecocyc_28,no,no,durfee_down
flij,csgd,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
flij,flhc,+,ecocyc_28,yes,no,durfee_down
flij,pdel,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flij,flhdc,+,regdb_13,no,no,durfee_down
flik,flhd,+,ecocyc_28,yes,no,durfee_down
flik,rpod,+,ecocyc_28,no,yes,durfee_down
flik,flia,+,ecocyc_28,no,yes,durfee_down
flik,csgd,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
flik,flhc,+,ecocyc_28,yes,no,durfee_down
flik,pdel,-,ecocyc_28_AND_regdb_13,no,no,durfee_down
flik,flhdc,+,regdb_13,no,no,durfee_down
flim,flhd,+,ecocyc_28,yes,no,durfee_down
flim,rpod,+,ecocyc_28,no,yes,durfee_down
flim,flhc,+,ecocyc_28,yes,no,durfee_down
flim,flia,+,ecocyc_28,no,yes,durfee_down
flim,flhdc,+,regdb_13,no,no,durfee_down
flio,flhd,+,ecocyc_28,yes,no,durfee_down
flio,rpod,+,ecocyc_28,no,yes,durfee_down
flio,flhc,+,ecocyc_28,yes,no,durfee_down
flio,flia,+,ecocyc_28,no,yes,durfee_down
flio,flhdc,+,regdb_13,no,no,durfee_down
flip,flhd,+,ecocyc_28,yes,no,durfee_down
flip,rpod,+,ecocyc_28,no,yes,durfee_down
flip,flhc,+,ecocyc_28,yes,no,durfee_down
flip,flia,+,ecocyc_28,no,yes,durfee_down
flip,flhdc,+,regdb_13,no,no,durfee_down
fliq,flhd,+,ecocyc_28,yes,no,durfee_down
fliq,rpod,+,ecocyc_28,no,yes,durfee_down
fliq,flhc,+,ecocyc_28,yes,no,durfee_down
fliq,flia,+,ecocyc_28,no,yes,durfee_down
fliq,flhdc,+,regdb_13,no,no,durfee_down
hha,basr,+,ecocyc_28_AND_regdb_13,no,no,durfee_down
hha,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,durfee_down
hha,pdhr,-,ecocyc_28,yes,no,durfee_down
hha,rpod,+,ecocyc_28,no,yes,durfee_down
lysw,rpod,+,ecocyc_28,no,yes,durfee_down
lysw,fis,+,ecocyc_28,yes,no,durfee_down
nmpc,rybb,-,regdb_13,no,no,durfee_down
nmpc,ihf,-,regdb_13,no,no,durfee_down
nmpc,crp,+,regdb_13,yes,no,durfee_down
nmpc,ompr,-,regdb_13,yes,no,durfee_down
pssa,rpod,+,ecocyc_28,no,yes,durfee_down
puru,gcvb,-,ecocyc_28,yes,no,durfee_down
puru,rpod,+,ecocyc_28,no,yes,durfee_down
pyrf,rpoh,+,ecocyc_28,no,yes,durfee_down
pyrf,rpod,+,ecocyc_28,no,yes,durfee_down
ribe,rpoh,+,ecocyc_28,no,yes,durfee_down
ribe,rpod,+,ecocyc_28,no,yes,durfee_down
ribe,lrp,-,ecocyc_28,yes,no,durfee_down
stpa,rpod,+,ecocyc_28,no,yes,durfee_down
stpa,lrp,+,ecocyc_28_AND_regdb_13,yes,no,durfee_down
stpa,stpa,-,ecocyc_28,no,no,durfee_down
stpa,argr,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
stpa,hns,-,ecocyc_28,yes,no,durfee_down
stpa,h-ns,-,regdb_13,no,no,durfee_down
ybjx,lrp,+,ecocyc_28,yes,no,durfee_down
ybjx,nac,-,ecocyc_28_AND_regdb_13,yes,no,durfee_down
ycih,rpoh,+,ecocyc_28,no,yes,durfee_down
ycih,rpod,+,ecocyc_28,no,yes,durfee_down
