gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
acea,rpod,+,ecocyc_28,no,yes,schmidt_up
acea,ihfa,+,ecocyc_28,yes,no,schmidt_up
acea,crp,-,ecocyc_28,yes,no,schmidt_up
acea,iclr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_up
acea,cra,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
acea,ihfb,+,ecocyc_28,yes,no,schmidt_up
acea,arca,-,ecocyc_28,yes,no,schmidt_up
acea,ihf,+,regdb_13,no,no,schmidt_up
acek,rpod,+,ecocyc_28,no,yes,schmidt_up
acek,ihfa,+,ecocyc_28,yes,no,schmidt_up
acek,crp,-,ecocyc_28,yes,no,schmidt_up
acek,iclr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_up
acek,cra,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
acek,ihfb,+,ecocyc_28,yes,no,schmidt_up
acek,arca,-,ecocyc_28,yes,no,schmidt_up
acek,ihf,+,regdb_13,no,no,schmidt_up
acs,fis,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
acs,rpod,+,ecocyc_28,no,yes,schmidt_up
acs,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
acs,gcvb,-,ecocyc_28,yes,no,schmidt_up
acs,rpos,+,ecocyc_28,no,yes,schmidt_up
acs,ihfb,-,ecocyc_28,yes,no,schmidt_up
acs,rob,-,ecocyc_28,yes,no,schmidt_up
acs,ihfa,-,ecocyc_28,yes,no,schmidt_up
acs,crp,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
acs,ihf,-,regdb_13,no,no,schmidt_up
actp,fis,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
actp,rpod,+,ecocyc_28,no,yes,schmidt_up
actp,rpos,+,ecocyc_28,no,yes,schmidt_up
actp,ihfb,-,ecocyc_28,yes,no,schmidt_up
actp,fur,-,ecocyc_28,yes,no,schmidt_up
actp,rob,-,ecocyc_28,yes,no,schmidt_up
actp,ihfa,-,ecocyc_28,yes,no,schmidt_up
actp,rpon,+,ecocyc_28,no,yes,schmidt_up
actp,crp,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
actp,ihf,-,regdb_13,no,no,schmidt_up
aspa,rpod,+,ecocyc_28,no,yes,schmidt_up
aspa,lrp,±,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
aspa,fnr,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
aspa,narl,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
aspa,dcur,+,ecocyc_28,no,no,schmidt_up
aspa,crp,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
bhsa,crp,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
bhsa,rpod,+,ecocyc_28,no,yes,schmidt_up
bhsa,rpoe,+,ecocyc_28,no,yes,schmidt_up
bhsa,comr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_up
cira,rpod,+,ecocyc_28,no,yes,schmidt_up
cira,omra,-,ecocyc_28_AND_regdb_13,no,no,schmidt_up
cira,ryhb,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
cira,fur,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
cira,hfq,-,ecocyc_28_AND_regdb_13,no,no,schmidt_up
cira,crp,+,ecocyc_28,yes,no,schmidt_up
cira,omrb,-,ecocyc_28_AND_regdb_13,no,no,schmidt_up
cuta,rpod,+,ecocyc_28,no,yes,schmidt_up
dada,nac,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
dada,rpod,+,ecocyc_28,no,yes,schmidt_up
dada,lrp,±,ecocyc_28,yes,no,schmidt_up
dada,crp,±,ecocyc_28_AND_regdb_13,yes,no,schmidt_up
