gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
acrr,ompr,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
acrr,ptrr,-,ecocyc_28,no,no,schmidt_down
acrr,rpod,+,ecocyc_28,no,yes,schmidt_down
acrr,acrr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
aded,hns,-,ecocyc_28,yes,no,mori_down
aded,rpod,+,ecocyc_28,no,yes,mori_down
aega,crp,-,ecocyc_28,yes,no,schmidt_down
aer,crp,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
aer,lrp,-,ecocyc_28,yes,no,mori_down
aer,flia,+,ecocyc_28,no,yes,mori_down
aer,fnr,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
amtb,glng,+,ecocyc_28,yes,no,schmidt_down
amtb,rpon,+,ecocyc_28,no,yes,schmidt_down
amtb,fur,±,ecocyc_28,yes,no,schmidt_down
amtb,gadx,+,ecocyc_28,yes,no,schmidt_down
amtb,fnr,±,ecocyc_28,yes,no,schmidt_down
arna,basr,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
arof,tyrr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
arof,nac,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
arof,soxr,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
arof,rpod,+,ecocyc_28,no,yes,schmidt_down
aspa,rpod,+,ecocyc_28,no,yes,mori_down
aspa,crp,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
aspa,lrp,±,ecocyc_28_AND_regdb_13,yes,no,mori_down
aspa,fnr,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
aspa,narl,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
aspa,dcur,+,ecocyc_28,no,no,mori_down
atpe,rpod,+,ecocyc_28,no,yes,mori_down
bioc,bira,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
bioc,rpod,+,ecocyc_28,no,yes,schmidt_down
bord,nac,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
bord,lrp,+,ecocyc_28,yes,no,schmidt_down
bord,phop,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
brnq,lrp,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
caid,rpod,+,ecocyc_28,no,yes,schmidt_down
caid,crp,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
caid,arca,+,ecocyc_28,yes,no,schmidt_down
caid,hns,-,ecocyc_28,yes,no,schmidt_down
caid,fnr,+,ecocyc_28,yes,no,schmidt_down
caid,caif,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
cbl,glng,+,ecocyc_28,yes,no,schmidt_down
cbl,rpod,+,ecocyc_28,no,yes,schmidt_down
cbl,cysb,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
cbl,lrp,+,ecocyc_28,yes,no,schmidt_down
cbl,cpxr,-,ecocyc_28,yes,no,schmidt_down
cdd,rpod,+,ecocyc_28,no,yes,mori_down
cdd,crp,±,ecocyc_28_AND_regdb_13,yes,no,mori_down
cdd,nsrr,-,ecocyc_28,yes,no,mori_down
cdd,cytr,-,ecocyc_28_AND_regdb_13,no,no,mori_down
chea,nac,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
chea,flia,+,ecocyc_28,no,yes,mori_down
chea,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
cher,flia,+,ecocyc_28,no,yes,mori_down
cher,fnr,+,ecocyc_28,yes,no,mori_down
chez,flia,+,ecocyc_28,no,yes,mori_down
chez,fnr,+,ecocyc_28,yes,no,mori_down
cobu,nac,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
cobu,rpod,+,ecocyc_28,no,yes,schmidt_down
creb,rpoh,+,ecocyc_28,no,yes,schmidt_down
creb,rpod,+,ecocyc_28,no,yes,schmidt_down
creb,nagc,-,ecocyc_28,yes,no,schmidt_down
csgg,ihfa,+,ecocyc_28,yes,no,schmidt_down
csgg,mcas,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,btsr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,gcvb,-,ecocyc_28,yes,no,schmidt_down
csgg,rydc,-,ecocyc_28,no,no,schmidt_down
csgg,rcda,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,omra,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
