gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
abga,nac,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
agaa,agar,-,regdb_13,no,no,ceroni_up
agaa,crp,+,regdb_13,yes,no,ceroni_up
agai,agar,-,ecocyc_28_AND_regdb_13,no,no,ceroni_up
agai,rpod,+,ecocyc_28,no,yes,ceroni_up
araf,arac,+,ecocyc_28_AND_regdb_13,no,no,rajacharya_upregulated
araf,spf,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
araf,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
araf,rpos,+,ecocyc_28,no,yes,rajacharya_upregulated
araf,crp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
araf,fur,+,ecocyc_28,yes,no,rajacharya_upregulated
araf,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
arod,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
arod,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
arsr,arsr,-,ecocyc_28_AND_regdb_13,no,no,ceroni_up
arsr,rpod,+,ecocyc_28,no,yes,ceroni_up
atob,atoc,+,ecocyc_28_AND_regdb_13,no,no,ceroni_up
atob,rpon,+,ecocyc_28,no,yes,ceroni_up
atob,ihfa,+,ecocyc_28,yes,no,ceroni_up
atob,ihfb,+,ecocyc_28,yes,no,ceroni_up
atoe,atoc,+,ecocyc_28_AND_regdb_13,no,no,ceroni_up
atoe,rpon,+,ecocyc_28,no,yes,ceroni_up
atoe,ihfa,+,ecocyc_28,yes,no,ceroni_up
atoe,ihfb,+,ecocyc_28,yes,no,ceroni_up
atoe,ihf,+,regdb_13,no,no,ceroni_up
azuc,rpod,+,ecocyc_28,no,yes,ceroni_up
azuc,crp,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
azuc,fnrs,-,ecocyc_28,no,no,ceroni_up
chaa,glar,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
chaa,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
cite,crp,-,ecocyc_28,yes,no,jovanovic_up
cite,arca,-,ecocyc_28,yes,no,jovanovic_up
cite,dpia,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
cite,narl,-,ecocyc_28,yes,no,jovanovic_up
cite,fnr,-,ecocyc_28,yes,no,jovanovic_up
clpb,rpoh,+,ecocyc_28,no,yes,ceroni_up-jovanovic_up
clpb,rpod,+,ecocyc_28,no,yes,ceroni_up-jovanovic_up
cpdb,crp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
cpdb,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
cpdb,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
cspa,rpod,+,ecocyc_28,no,yes,ceroni_up
cspa,fis,+,ecocyc_28,yes,no,ceroni_up
cspa,hns,-,ecocyc_28,yes,no,ceroni_up
cspa,cpxr,+,ecocyc_28,yes,no,ceroni_up
cspa,ydip,+,ecocyc_28,no,no,ceroni_up
cspa,zrar,-,ecocyc_28,no,no,ceroni_up
cspa,h-ns,-,regdb_13,no,no,ceroni_up
cspc,rpon,-,ecocyc_28,no,yes,jovanovic_up
cspc,btsr,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
cspc,rpod,+,ecocyc_28,no,yes,jovanovic_up
cspe,dinj,-,ecocyc_28,no,no,jovanovic_up
cspe,rpod,+,ecocyc_28,no,yes,jovanovic_up
cspe,yafq,-,ecocyc_28,no,no,jovanovic_up
cspe,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
cspe,ydip,+,ecocyc_28,no,no,jovanovic_up
cspe,dinj-yafq,-,regdb_13,no,no,jovanovic_up
cynt,nac,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
cynt,rpod,+,ecocyc_28,no,yes,ceroni_up
cynt,cynr,+,ecocyc_28_AND_regdb_13,no,no,ceroni_up
cysc,rpod,+,ecocyc_28,no,yes,ceroni_up
cysc,cysb,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
def,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
dgoa,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dgoa,rpod,+,ecocyc_28,no,yes,jovanovic_up
dgoa,dgor,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
dgot,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dgot,rpod,+,ecocyc_28,no,yes,jovanovic_up
dgot,dgor,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
dnak,rpoh,+,ecocyc_28,no,yes,ceroni_up-jovanovic_up
dppa,rpod,+,ecocyc_28,no,yes,jovanovic_up
dppa,ihfa,+,ecocyc_28,yes,no,jovanovic_up
dppa,arca,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dppa,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
dppa,lrp,±,ecocyc_28,yes,no,jovanovic_up
dppa,gcvb,-,ecocyc_28,yes,no,jovanovic_up
dppa,fnr,-,ecocyc_28,yes,no,jovanovic_up
dppa,ihfb,+,ecocyc_28,yes,no,jovanovic_up
elfa,nac,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
elfa,crp,+,ecocyc_28,yes,no,ceroni_up
elfa,slya,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
elfa,hns,-,ecocyc_28,yes,no,ceroni_up
evga,rpod,+,ecocyc_28,no,yes,jovanovic_up
evga,rpos,+,ecocyc_28,no,yes,jovanovic_up
evga,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
evga,evga,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
evga,hns,-,ecocyc_28,yes,no,jovanovic_up
evga,csra,-,ecocyc_28,no,no,jovanovic_up
evga,h-ns,-,regdb_13,no,no,jovanovic_up
fdnh,fnr,±,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdnh,narp,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdnh,rpod,+,ecocyc_28,no,yes,ceroni_up
fdnh,narl,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdni,fnr,±,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdni,narp,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdni,rpod,+,ecocyc_28,no,yes,ceroni_up
fdni,narl,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fecc,crp,+,ecocyc_28,yes,no,ceroni_up
fecc,fur,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fecc,pdhr,+,ecocyc_28,yes,no,ceroni_up
fecc,hypt,-,ecocyc_28,no,no,ceroni_up
fecc,feci,+,ecocyc_28,no,yes,ceroni_up
fecd,crp,+,ecocyc_28,yes,no,ceroni_up
fecd,fur,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fecd,pdhr,+,ecocyc_28,yes,no,ceroni_up
fecd,hypt,-,ecocyc_28,no,no,ceroni_up
fecd,feci,+,ecocyc_28,no,yes,ceroni_up
fima,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
fima,ihfa,+,ecocyc_28,yes,no,rajacharya_upregulated
fima,qseb,+,ecocyc_28,no,no,rajacharya_upregulated
fima,fis,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
fima,hns,+,ecocyc_28,yes,no,rajacharya_upregulated
fima,lrp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
fima,ihfb,+,ecocyc_28,yes,no,rajacharya_upregulated
fima,h-ns,+,regdb_13,no,no,rajacharya_upregulated
fmt,rpod,+,ecocyc_28,no,yes,jovanovic_up
frdb,rpod,+,ecocyc_28,no,yes,jovanovic_up
frdb,rpos,+,ecocyc_28,no,yes,jovanovic_up
frdb,fnr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
frdb,lrp,-,ecocyc_28,yes,no,jovanovic_up
frdb,narl,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_up
frdb,dcur,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_up
frua,cra,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_upregulated
frua,rpod,+,ecocyc_28,no,yes,rajacharya_upregulated
fucp,spf,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fucp,rpod,+,ecocyc_28,no,yes,ceroni_up
fucp,crp,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fucp,fucr,+,ecocyc_28,no,no,ceroni_up
fucp,srsr,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fxsa,rpoh,+,ecocyc_28,no,yes,ceroni_up
