gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
acre,rpod,+,ecocyc_28,no,yes,bie_up
acre,nac,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
acre,fnr,+,ecocyc_28,yes,no,bie_up
acre,hns,-,ecocyc_28,yes,no,bie_up
acre,zrar,+,ecocyc_28_AND_regdb_13,no,no,bie_up
agab,rpod,+,ecocyc_28,no,yes,bie_up
agab,agar,-,ecocyc_28_AND_regdb_13,no,no,bie_up
agac,rpod,+,ecocyc_28,no,yes,bie_up
agac,agar,-,ecocyc_28_AND_regdb_13,no,no,bie_up
alax,rpod,+,ecocyc_28,no,yes,bie_up
alax,fis,+,ecocyc_28,yes,no,bie_up
argq,rpod,+,ecocyc_28,no,yes,bie_up
argw,rpod,+,ecocyc_28,no,yes,bie_up
argw,fis,+,ecocyc_28,yes,no,bie_up
asnv,rpod,+,ecocyc_28,no,yes,bie_up
asnv,nac,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
bglh,nac,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
citc,fnr,-,ecocyc_28,yes,no,bie_up
citc,dpia,+,ecocyc_28_AND_regdb_13,no,no,bie_up
citc,crp,-,ecocyc_28,yes,no,bie_up
citc,narl,-,ecocyc_28,yes,no,bie_up
citc,arca,-,ecocyc_28,yes,no,bie_up
citd,fnr,-,ecocyc_28,yes,no,bie_up
citd,dpia,+,ecocyc_28_AND_regdb_13,no,no,bie_up
citd,crp,-,ecocyc_28,yes,no,bie_up
citd,narl,-,ecocyc_28,yes,no,bie_up
citd,arca,-,ecocyc_28,yes,no,bie_up
cite,fnr,-,ecocyc_28,yes,no,bie_up
cite,dpia,+,ecocyc_28_AND_regdb_13,no,no,bie_up
cite,crp,-,ecocyc_28,yes,no,bie_up
cite,narl,-,ecocyc_28,yes,no,bie_up
cite,arca,-,ecocyc_28,yes,no,bie_up
dicb,dica,-,ecocyc_28,no,no,bie_up
dicb,rpod,+,ecocyc_28,no,yes,bie_up
dicb,dicd,-,ecocyc_28,no,no,bie_up
emry,evga,+,ecocyc_28_AND_regdb_13,no,no,bie_up
emry,fnr,+,ecocyc_28,yes,no,bie_up
fepe,rpod,+,ecocyc_28,no,yes,bie_up
fepe,hns,+,ecocyc_28,yes,no,bie_up
fepe,nac,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
fepe,fnr,+,ecocyc_28_AND_regdb_13,yes,no,bie_up
fepe,fur,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
flia,flhd,+,ecocyc_28,yes,no,bie_up
flia,rpod,+,ecocyc_28,no,yes,bie_up
flia,lrp,±,ecocyc_28,yes,no,bie_up
flia,nsrr,-,ecocyc_28,yes,no,bie_up
flia,flia,+,ecocyc_28,no,yes,bie_up
flia,hns,+,ecocyc_28,yes,no,bie_up
flia,csgd,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
flia,sutr,-,ecocyc_28_AND_regdb_13,no,no,bie_up
flia,ihfb,-,ecocyc_28,yes,no,bie_up
flia,flhc,+,ecocyc_28,yes,no,bie_up
flia,mata,-,ecocyc_28_AND_regdb_13,no,no,bie_up
flia,ihfa,-,ecocyc_28,yes,no,bie_up
flia,zrar,+,ecocyc_28_AND_regdb_13,no,no,bie_up
flia,ihf,-,regdb_13,no,no,bie_up
flia,flhdc,+,regdb_13,no,no,bie_up
fliq,flhd,+,ecocyc_28,yes,no,bie_up
fliq,rpod,+,ecocyc_28,no,yes,bie_up
fliq,flhc,+,ecocyc_28,yes,no,bie_up
fliq,flia,+,ecocyc_28,no,yes,bie_up
fliq,flhdc,+,regdb_13,no,no,bie_up
gard,cdar,+,ecocyc_28,no,no,bie_up
gard,fnr,+,ecocyc_28_AND_regdb_13,yes,no,bie_up
garl,rpod,+,ecocyc_28,no,yes,bie_up
garl,fnr,+,ecocyc_28,yes,no,bie_up
garl,fur,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
garl,cdar,+,ecocyc_28,no,no,bie_up
garl,hns,-,ecocyc_28,yes,no,bie_up
garp,rpod,+,ecocyc_28,no,yes,bie_up
garp,fnr,+,ecocyc_28,yes,no,bie_up
garp,fur,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
garp,cdar,+,ecocyc_28,no,no,bie_up
garp,hns,-,ecocyc_28,yes,no,bie_up
garr,rpod,+,ecocyc_28,no,yes,bie_up
garr,fnr,+,ecocyc_28,yes,no,bie_up
garr,fur,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
garr,cdar,+,ecocyc_28,no,no,bie_up
garr,hns,-,ecocyc_28,yes,no,bie_up
gfca,yjjq,-,ecocyc_28_AND_regdb_13,no,no,bie_up
gfca,rpod,+,ecocyc_28,no,yes,bie_up
glnx,rpod,+,ecocyc_28,no,yes,bie_up
glnx,fis,+,ecocyc_28,yes,no,bie_up
gltw,hns,±,ecocyc_28,yes,no,bie_up
gltw,lrp,±,ecocyc_28,yes,no,bie_up
gltw,rpod,+,ecocyc_28,no,yes,bie_up
gltw,dksa,-,ecocyc_28,yes,no,bie_up
gltw,fis,+,ecocyc_28_AND_regdb_13,yes,no,bie_up
gltw,nhar,+,ecocyc_28_AND_regdb_13,yes,no,bie_up
gltw,rpoh,+,ecocyc_28,no,yes,bie_up
glyu,rpod,+,ecocyc_28,no,yes,bie_up
glyu,fis,+,ecocyc_28,yes,no,bie_up
gnsa,rpod,+,ecocyc_28,no,yes,bie_up
gnsa,rpon,+,ecocyc_28,no,yes,bie_up
gspa,rpoe,+,ecocyc_28,no,yes,bie_up
gspa,rpod,+,ecocyc_28,no,yes,bie_up
gspa,hns,-,ecocyc_28,yes,no,bie_up
gspa,h-ns,-,regdb_13,no,no,bie_up
gspj,slya,+,ecocyc_28_AND_regdb_13,yes,no,bie_up
gspj,rpod,+,ecocyc_28,no,yes,bie_up
gspj,hns,-,ecocyc_28,yes,no,bie_up
gspj,fur,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
gspj,h-ns,-,regdb_13,no,no,bie_up
hisl,argr,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
hisl,dksa,+,ecocyc_28,yes,no,bie_up
htre,rpod,+,ecocyc_28,no,yes,bie_up
htre,ihfa,+,ecocyc_28,yes,no,bie_up
htre,lrp,+,ecocyc_28,yes,no,bie_up
htre,rpos,+,ecocyc_28,no,yes,bie_up
htre,nac,-,ecocyc_28_AND_regdb_13,yes,no,bie_up
htre,glar,+,ecocyc_28_AND_regdb_13,yes,no,bie_up
htre,ihfb,+,ecocyc_28,yes,no,bie_up
ibpb,ihfa,+,ecocyc_28,yes,no,bie_up
ibpb,lrp,+,ecocyc_28,yes,no,bie_up
ibpb,rpon,+,ecocyc_28,no,yes,bie_up
ibpb,ihfb,+,ecocyc_28,yes,no,bie_up
